"ID","Accident ID","Region Number","Corridor ID","Location (Intersection/Road/Street)","Corridor","Location- longitude/ X","Location- latitude/  Y","Mile Marker","Village","Date of Accident","Time of Accident","Type of Accident","Class of Road User","Age/DOB","Gender","Class of Vehicles Involved","Contributing Factor","Number of Persons Involved"
5733,26162.00,"4- Demerara- Mahaica",361,"Back St. Herstelling","East bank Demerara (from Georgetown)","-58.1887","6.7457",,,12/26/2010 0:00:00,12/30/1899 11:45:00,"C- Minor Injury","F- Driver",38.00,"Male","M- Hire Cars","S- Driver's Negligence",2.00
5734,26163.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,1/2/2010 0:00:00,12/30/1899 15:50:00,"D- Property Damage","F- Driver",44.00,"Male","K- Private Cars","P- Speeding",1.00
5735,26164.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,1/3/2011 0:00:00,12/30/1899 9:00:00,"D- Property Damage","F- Driver",41.00,"Male","K- Private Cars;M- Hire Cars","S- Driver's Negligence",2.00
5736,26165.00,"4- Demerara- Mahaica",351,"Bagotstown Public Rd.","East bank Demerara (from Georgetown)","-58.1794","6.7505",,,1/4/2011 0:00:00,12/30/1899 17:45:00,"C- Minor Injury","E- Pedestrian",23.00,"Male","K- Private Cars","S- Driver's Negligence",2.00
5737,26166.00,"4- Demerara- Mahaica",361,"Herstelling Public Rd.","East bank Demerara (from Georgetown)","-58.1848","6.7464",,,12/23/2010 0:00:00,12/30/1899 20:30:00,"C- Minor Injury","E- Pedestrian",31.00,"Male","K- Private Cars","S- Driver's Negligence",2.00
5738,26167.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,1/9/2011 0:00:00,,"D- Property Damage","F- Driver",53.00,"Male","K- Private Cars","S- Driver's Negligence",1.00
5739,26168.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,1/9/2011 0:00:00,12/30/1899 19:00:00,"D- Property Damage","F- Driver",19.00,"Male","K- Private Cars;L- Lorries Van;M- Hire Cars","P- Speeding",3.00
5740,26169.00,"4- Demerara- Mahaica",366,"Providence Public Rd.","East bank Demerara (from Georgetown)","-58.1805","6.7587",,,1/9/2011 0:00:00,12/30/1899 22:30:00,"C- Minor Injury","E- Pedestrian",26.00,"Male","K- Private Cars","S- Driver's Negligence",2.00
5741,26170.00,"4- Demerara- Mahaica",353,"Peter's Hall Public Rd.","East bank Demerara (from Georgetown)","-58.1698","6.7724",,,1/11/2011 0:00:00,12/30/1899 20:25:00,"D- Property Damage","F- Driver",25.00,"Male","K- Private Cars","S- Driver's Negligence",2.00
5742,26171.00,"4- Demerara- Mahaica",351,"Water St. Bagotstown","East bank Demerara (from Georgetown)","-58.1717","6.7789",,,1/17/2011 0:00:00,12/30/1899 23:45:00,"C- Minor Injury","E- Pedestrian",33.00,"Male","K- Private Cars","S- Driver's Negligence",2.00
