"code","manufacturer","category","creation_date","promised_date","need_by_date","transaction_date","qty_recv","unit_cost","total"
"FDC","LG ELECTRONICS","PHONE",2018-02-13,2018-02-27,2018-02-27,2018-03-08,630,719.99,453593.7
"FDC","ZTE USA","PHONE",2017-12-13,2018-02-27,2018-02-27,2018-03-09,2500,136.49,341225
"FDC","LG ELECTRONICS","PHONE",2018-02-15,2018-03-06,2018-03-06,2018-03-09,1260,719.99,907187.4
"FDC","LG ELECTRONICS","PHONE",2018-02-12,2018-02-27,2018-02-27,2018-03-09,40,719.99,28799.6
"FDC","LG ELECTRONICS","PHONE",2018-02-13,2018-02-27,2018-02-27,2018-03-09,5,719.99,3599.95
"FDC","ZTE USA","PHONE",2017-12-13,2018-02-20,2018-02-20,2018-03-12,2500,136.49,341225
"FDC","LG ELECTRONICS","PHONE",2018-02-20,2018-02-27,2018-02-27,2018-03-13,35,291.24,10193.4
"FDC","SAMSUNG","PHONE",2018-01-24,2018-03-14,2018-03-14,2018-03-14,4240,865,3667600
"FDC","SAMSUNG","PHONE",2018-02-22,2018-03-19,2018-03-19,2018-03-15,3705,704,2608320
"FDC","LG ELECTRONICS","PHONE",2018-02-15,2018-03-06,2018-03-06,2018-03-16,630,719.99,453593.7
"FDC","SAMSUNG","PHONE",2018-02-22,2018-03-19,2018-03-19,2018-03-19,2055,704,1446720
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-15,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-16,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","ZTE USA","GOPHONE",2018-01-16,2018-03-20,2018-03-20,2018-03-20,4320,77.6,335232
"FDC","TCT MOBILE US INC","GOPHONE",2018-01-10,2018-03-20,2018-03-20,2018-03-20,2160,87,187920
"FDC","TCT MOBILE US INC","GOPHONE",2018-01-10,2018-03-20,2018-03-20,2018-03-20,4320,87,375840
"FDC","TCT MOBILE US INC","GOPHONE",2018-01-10,2018-03-20,2018-03-20,2018-03-20,4320,87,375840
